WORD,STEM
tenement,tenement
chaff,chaff
forlornly,forlornly
taut,taut
wiles,wile
blithely,blithely
scuffed,scuff
aghast,aghast
rummaging,rummage
despondent,despondent
deuce,deuce
yore,yore
drayman,drayman
repast,repast
impelled,impel
contumacy,contumacy
indorsed,indorse
knave,knave
nonplused,nonplused
wearisome,wearisome
alms,alms
swooned,swoon
bock,bock
hovel,hovel
mirth,mirth
transom,transom
lopsided,lopsided
crinkly,crinkly
affability,affability
befalls,befall
redress,redress
cherubim,cherub
crooned,croon
Norman,Norman
bier,bier
jostle,jostle
loam,loam
poltrooneries,poltroonery
beseechingly,beseechingly
glen,glen
sufferance,sufferance
effigy,effigy
boon,boon
retribution,retribution
crones,crone
cheroot,cheroot
fiends,fiend
flinty,flinty
knapsack,knapsack
ruffian,ruffian
cerulean,cerulean
gully,gully
wintry,wintry
moleskin,moleskin
striven,strive
puckishly,puckishly
shared,share
wafers,wafer
modishly,modishly
throwback,throwback
unworldly,unworldly
cowering,cower
roving,roving
sundry,sundry
thwart,thwart
weaving,weave
indignities,indignity
avuncular,avuncular
foisted,foist
preen,preen
snuffing,snuff
shrugged,shrug
straddled,straddle
follies,Follies
harebrained,harebrained
meekness,meekness
Shriven,shriven
peddlers,peddler
intercede,intercede
dapper,dapper
bobbed,bob
hazy,hazy
larded,lard
sallow,sallow
grimly,grimly
scourge,scourge
supercilious,supercilious
girth,girth
girdled,girdle
obsequiousness,obsequiousness
tawny,tawny
uncouth,uncouth
brook,brook
perfunctorily,perfunctorily
wanton,wanton
niggardly,niggardly
gallant,gallant
litter,litter
unerring,unerring
stoop,stoop
mottled,mottle
profusely,profusely
incensed,incense
propelled,propel
inextricable,inextricable
jabbering,jabber
coddled,coddle
foolhardiness,foolhardiness
swop,swop
Fair,fair
rustled,rustle
chasers,chaser
ogling,ogle
chummy,chummy
jilted,jilt
rue,rue
garotte,garotte
minder,minder
dab,dab
lib,lib
rifling,rifling
jot,jot
conversation,conversation
stalked,stalked
conjectured,conjecture
smother,smother
jibes,jibe
niggled,niggle
sheaf,sheaf
slopping,slop
shambles,shambles
begetters,begetter
caboodle,caboodle
assuaged,assuage
rotas,rota
meaty,meaty
Chastened,chasten
crank,crank
twine,twine
noughts,nought
desultorily,desultorily
trussed,truss
askance,askance
hankering,hanker
tutting,tut
kneecapped,kneecap
contrition,contrition
treacle,treacle
sloughed,slough
ruefully,ruefully
queer,queer
encroaching,encroach
foregone,foregone
tenuous,tenuous
Internecine,internecine
waded,Wade
ineluctable,ineluctable
gnawed,gnaw
heathen,heathen
straddling,straddle
brooding,brooding
weave,weave
plodding,plodding
swag,swag
baulked,baulk
Cornicing,cornicing
champing,champ
bleary,bleary
magpie,magpie
indomitable,indomitable
tourniquet,tourniquet
ignominy,ignominy
morass,morass
silt,silt
resolutely,resolutely
gritty,gritty
tawdry,tawdry
padded,pad
venial,venial
posited,posit
dour,dour
glutton,glutton
preened,preen
ungodly,ungodly
Bewildering,bewilder
withering,withering
blaring,blaring
trawled,trawl
ancillary,ancillary
slacker,slacker
slouched,slouch
bawled,bawl
sidled,sidle
festooned,festoon
outlandish,outlandish
tiff,tiff
Ditto,ditto
rogered,roger
prevaricating,prevaricate
Cursory,cursory
cosh,cosh
qualms,qualm
abode,abode
garish,garish
consigning,consign
craggy,craggy
swilling,swill
Good,good
creepers,creeper
barrow,barrow
poncing,Ponce
hedgerow,hedgerow
bale,bale
creakier,creak
demurred,demur
flog,flog
mulish,mulish
primly,primly
curmudgeons,curmudgeon
lintel,lintel
Kickbacks,kickback
plaited,plait
you,you
wry,wry
scatty,scatty
bespoke,bespoke
flunkies,flunkey
mellifluous,mellifluous
ribald,ribald
sacrament,sacrament
'fessing,Fès
kibble,kibble
turgid,turgid
copse,copse
tendrils,tendril
defiled,defile
perky,perky
staves,stave
wreath,wreath
teetered,teeter
spliff,spliff
folly,folly
taper,taper
jaunt,jaunt
commiserating,commiserate
scruff,scruff
stile,stile
inane,inane
questing,quest
smarmy,smarmy
hymnals,hymnal
peeved,peeve
sheepish,sheepish
humbug,humbug
snivelling,snivel
shenanigans,shenanigans
winch,winch
swotted,swot
blithering,blithering
wench,wench
twitching,twitch
swathing,swath
scrunched,scrunch
rejoiced,rejoice
shirking,shirk
sniggering,snigger
tidying,tidy
windfalls,windfall
snagged,snag
wistfully,wistfully
brambles,bramble
sanctimonious,sanctimonious
chink,chink
foibles,foible
dinky,dinky
scruffy,scruffy
wistful,wistful
scullery,scullery
churlish,churlish
flailing,flail
nubile,nubile
middling,middling
wilful,wilful
snide,snide
apposite,apposite
muss,muss
rampaging,rampage
jumbo,jumbo
gelded,geld
bolter,Bolt
blustered,bluster
reams,ream
toke,toke
wryly,wryly
balmy,balmy
contrived,contrived
garret,garret
shunted,shunt
rueful,rueful
truancy,truancy
bonniest,bonnie
crock,crock
rankled,rankle
daft,daft
hod,hod
vicarious,vicarious
pish,pish
patter,patter
remonstrate,remonstrate
dualled,dual
overtake,overtake
inexorably,inexorably
carriageway,carriageway
plying,ply
ropiest,rope
golem,golem
grafting,graft
guile,guile
tamp down,N/A
hag,hag
to clock one,N/A
dyke,dyke
have a chip,N/A
foist,foist
berserk,berserk
pick up at scabs,N/A
congenially,congeni
toting (a bag),N/A
windfall,windfal
swank,swank
hunker down,N/A
poltergeist,poltergeist
favorite dog whistle,N/A
kowtow to,N/A
run up a flagpole,N/A
take a pasting from,N/A
to be jumped�,N/A
tepid water,N/A
jostle for position,N/A
dismissed as a crank by,N/A
bugger off,N/A
egg on,N/A
flounder,flounder
bungle,bungl
